LineStarId,Name,Position,Team,Salary,Projected,Scored,IsOverridden,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,DFS_ID,Vegas,VegasML,VegasTotals,VegasImplied
1210518,Chris Duarte,SF,SAC,3600,4.96,0,0,28,30,17.4,1.1,2,72,1.82,0,18,0,0,0,9.36,vs OKC,157828,-2,-130,243.0,122.5,
1210519,Keon Ellis,SG,SAC,3600,5.09,0,0,17,30,14.77,1.33,2,61,0.04,0,19,0,3,0,8.42,vs OKC,171669,-2,-130,243.0,122.5,
1210520,Cory Joseph,PG,GS,3600,3.57,0,0,6,30,20.34,2.83,2,76,0.22,0,14,0,1,0,7,@LAC,14529,0,0,0.0,0.0,
1210521,Davis Bertans,SF,OKC,3600,3.74,0,0,12,30,18.62,1.04,2,56.00000000000001,1.54,0,14,0,-1,0,7.75,@SAC,14543,2,110,243.0,120.5,
1210522,Dalen Terry,SG,CHI,3600,0,0,0,14,30,13.05,0.05,2,54,0,0,0,0,0,0,4.56,@MIA,171763,0,0,0.0,0.0,
1210523,A.J. Lawson,SG,DAL,3600,5.11,0,0,7,30,15.04,0.99,2,53,0.06,0,19,0,-1,0,5.72,vs MIN,160022,0,0,0.0,0.0,
1210524,Vasilije Micic,PG,OKC,3600,0,0,0,1,30,14.31,1.58,2,23,0,0,0,0,0,0,7.94,@SAC,55065,2,110,243.0,120.5,
1210525,Jamal Cain,SF,MIA,3600,4.21,0,0,19,30,22.64,0,2,46,3.06,0,15,1,-1,0,9.84,vs CHI,180555,0,0,0.0,0.0,
1210526,Zeke Nnaji,PF/C,DEN,3600,3.3,0,0,8,30,16.07,1.4,2,69,1.14,0,12,0,1,0,8.91,vs BKN,145305,-9.5,-500,229.0,119.3,
1210527,Sam Merrill,PG,CLE,3600,3.17,0,0,24,30,16.13,0,2,41,2.4,0,12,0,2,0,5.7,@BOS,145317,8.5,300,226.0,108.8,
1210528,Dariq Whitehead,SF,BKN,3500,3.84,0,0,15,30,4,4,2,0,1.6,0,15,0,0,0,4,@DEN,188430,9.5,360,229.0,109.8,
1210529,Noah Clowney,PF,BKN,3500,0,0,0,5,30,1.2,1.2,2,0,0,0,0,0,0,0,1.2,@DEN,188431,9.5,360,229.0,109.8,
1210530,Jalen Wilson,PF,BKN,3500,0,0,0,5,30,4.26,0.68,2,0,0,0,0,0,0,0,2.47,@DEN,188442,9.5,360,229.0,109.8,
1210531,Jordan Miller,SF,LAC,3500,0,0,0,6,30,2.55,0,2,53,0,0,0,0,0,0,2.5,vs GS,188445,0,0,0.0,0.0,
1210532,Ish Wainright,SF,POR,3500,0,0,0,30,30,11.65,0,2,59,0,0,0,0,0,0,1.5,vs UTA,158243,0,0,0.0,0.0,
1210533,Colby Jones,SG,SAC,3500,0,0,0,17,30,11.95,0,2,28.000000000000004,0,0,0,0,0,0,5.38,vs OKC,188448,-2,-130,243.0,122.5,
1210534,Oshae Brissett,SF,BOS,3500,0,0,0,24,30,16.99,2.25,2,74,0,0,0,0,0,0,5.97,vs CLE,117283,-8.5,-400,226.0,117.3,
1210535,Jalen Slawson,SF,SAC,3500,0,0,0,28,30,7.63,0,2,0,0,0,0,0,0,0,2.56,vs OKC,188449,-2,-130,243.0,122.5,
1210536,Vlatko Cancar,SF,DEN,3500,0,0,0,26,30,10.63,0,4,64,0,0,0,0,0,0,9.95,vs BKN,117285,-9.5,-500,229.0,119.3,
1210537,Leonard Miller,SF,MIN,3500,0,0,0,13,30,5.49,1.65,2,0,0,0,0,0,0,0,3.57,@DAL,188452,0,0,0.0,0.0,
1210538,Jaylen Clark,SG,MIN,3500,0,0,0,5,30,0,0,4,0,0,0,0,0,0,0,0,@DAL,188453,0,0,0.0,0.0,
1210539,Jalen Pickett,SG,DEN,3500,0,0,0,15,30,9.88,0,2,36,0,0,0,0,0,0,4.59,vs BKN,188458,-9.5,-500,229.0,119.3,
1210540,Hunter Tyson,PF,DEN,3500,0,0,0,8,30,2.18,0.19,2,0,0,0,0,0,0,0,1.19,vs BKN,188459,-9.5,-500,229.0,119.3,
1210541,Rayan Rupert,SG,POR,3500,0,0,0,27,30,5.12,0,2,0,0,0,0,0,0,0,1.89,vs UTA,188456,0,0,0.0,0.0,
1210542,Armoni Brooks,SG,BKN,3500,0,0,0,12,30,13.69,0,2,40,0,0,0,0,0,0,5.25,@DEN,117291,9.5,360,229.0,109.8,
1210543,Jordan Walsh,SF,BOS,3500,0,0,0,24,30,0,0,2,0,0,0,0,0,0,0,0,vs CLE,188457,-8.5,-400,226.0,117.3,
1210544,Emoni Bates,SF,CLE,3500,0,0,0,2,30,11.28,0,2,5,0,0,0,0,0,0,4.4,@BOS,188462,8.5,300,226.0,108.8,
1210545,Julian Phillips,SF,CHI,3500,0,0,0,21,30,4.72,0,2,70,0,0,0,0,0,0,2.36,@MIA,188463,0,0,0.0,0.0,
1210546,Onuralp Bitim,SG,CHI,3500,0,0,0,14,30,0,0,2,0,0,0,0,0,0,0,0,@MIA,190515,0,0,0.0,0.0,
1210547,Keyontae Johnson,SF,OKC,3500,0,0,0,12,30,0,0,2,0,0,0,0,0,0,0,0,@SAC,188468,2,110,243.0,120.5,
1210548,Adama Sanogo,PF,CHI,3500,0,0,0,12,30,0,0,2,0,0,0,0,0,0,0,0,@MIA,188480,0,0,0.0,0.0,
1210549,Nathan Knight,PF,BOS,3500,0,0,0,15,30,9.89,0.3,2,40,0,0,0,0,0,0,6.21,vs CLE,145491,-8.5,-400,226.0,117.3,
1210550,Josh Christopher,SG,UTA,3500,0,0,0,30,30,19.9,6.96,2,71,0,0,0,0,0,0,10.17,@POR,157803,0,0,0.0,0.0,
1210551,Luka Garza,C,MIN,3500,0,0,0,13,30,20.92,0,2,31,0,0,0,0,0,0,4.14,@DAL,157807,0,0,0.0,0.0,
1210552,Keon Johnson,SG,BKN,3500,0,0,0,12,30,20.5,0,2,70,0,0,0,0,0,0,9.06,@DEN,157804,9.5,360,229.0,109.8,
1210553,Neemias Queta,C,BOS,3500,0,0,0,20,30,16.61,2.8,2,10,0,0,0,0,0,0,11.13,vs CLE,157811,-8.5,-400,226.0,117.3,
1210554,Damian Jones,C,CLE,3500,0,0,0,26,30,13.89,0,2,63,0,0,0,0,0,0,2.88,@BOS,41082,8.5,300,226.0,108.8,
1210555,Greg Brown,PF,DAL,3500,0,0,0,17,30,8.57,0.96,2,70,0,0,0,0,0,0,4.77,vs MIN,157823,0,0,0.0,0.0,
1210556,Dalano Banton,PG,BOS,3500,4.11,0,0,9,30,15.77,0,2,50,18.26,0,13,4,-1,0,6.95,vs CLE,157821,-8.5,-400,226.0,117.3,
1210557,Aleksej Pokusevski,PF/C,OKC,3500,0,0,0,20,30,22.46,0,2,74,0,0,0,0,0,0,3.3,@SAC,145538,2,110,243.0,120.5,
1210558,RJ Hampton,PG/SG,MIA,3500,0,0,0,4,30,21.82,2.29,2,67,0,0,0,0,0,0,0,vs CHI,145541,0,0,0.0,0.0,
1210559,Johnny Juzang,SF,UTA,3500,0,0,0,5,30,14.82,3.94,2,60,0,0,0,0,0,0,9.1,@POR,171658,0,0,0.0,0.0,
1210560,Lester Quinones,SG,GS,3500,0,0,0,24,30,8.08,0,2,0,0,0,0,0,0,0,2,@LAC,171659,0,0,0.0,0.0,
1210561,Kessler Edwards,SF,SAC,3500,0,0,0,28,30,8.97,0,2,66,0,0,0,0,0,0,3.56,vs OKC,157835,-2,-130,243.0,122.5,
1210562,Xavier Moon,SG,LAC,3500,0,0,0,9,30,7.7,3.6,2,0,0,0,0,0,0,0,4,vs GS,163983,0,0,0.0,0.0,
1210563,Collin Gillespie,PG,DEN,3500,0,0,0,3,30,10.89,0,2,31,0,0,0,0,0,0,4.66,vs BKN,171668,-9.5,-500,229.0,119.3,
1210564,Justin Lewis,PF,CHI,3500,0,0,0,12,30,0,0,2,0,0,0,0,0,0,0,0,@MIA,171673,0,0,0.0,0.0,
1210565,Jordan Clarkson,PG/SG,UTA,3500,0,0,0,5,30,41.79,16.06,4,88,0,0,0,0,0,0,28.09,@POR,20640,0,0,0.0,0.0,
1210566,Ricky Rubio,PG,CLE,3500,0,0,0,24,30,18.43,5.68,4,75,0,0,0,0,0,0,13.95,@BOS,14496,8.5,300,226.0,108.8,
1210567,Terry Taylor,SF,CHI,3500,0,0,0,21,30,11.13,0,2,65,0,0,0,0,0,0,1.57,@MIA,158371,0,0,0.0,0.0,
1210568,Cole Swider,SF,MIA,3500,3.31,0,0,19,30,11.82,0,2,19,0.02,0,13,0,-1,0,8.9,vs CHI,171680,0,0,0.0,0.0,
1210569,Daishen Nix,PG,MIN,3500,0,0,0,21,30,7.47,0,2,61,0,0,0,0,0,0,2.03,@DAL,160963,0,0,0.0,0.0,
1210570,Jerome Robinson,SG,GS,3500,0,0,0,24,30,21.84,3.11,2,0,0,0,0,0,0,0,2.4,@LAC,84677,0,0,0.0,0.0,
1210571,Braxton Key,SF,DEN,3500,0,0,0,26,30,3.89,0.4,2,70,0,0,0,0,0,0,2.35,vs BKN,164036,-9.5,-500,229.0,119.3,
1210572,Usman Garuba,PF,GS,3500,0,0,0,4,30,12.49,2.52,2,69,0,0,0,0,0,0,11.49,@LAC,157906,0,0,0.0,0.0,
1210573,Lonnie Walker,SG/SF,BKN,3500,0,0,0,12,30,31.97,12.01,4,76,0,0,0,0,0,0,21.82,@DEN,84702,9.5,360,229.0,109.8,
1210574,Robert Williams,C,POR,3500,0,0,0,8,30,26.87,12.38,4,85,0,0,0,0,0,0,21.52,vs UTA,84708,0,0,0.0,0.0,
1210575,Mason Plumlee,C,LAC,3500,0,0,0,3,30,25.45,8.42,4,89,0,0,0,0,0,0,14.77,vs GS,15590,0,0,0.0,0.0,
1210576,Svi Mykhailiuk,SG,BOS,3500,0,0,0,2,30,35.05,1.74,2,61,0,0,0,0,0,0,3.56,vs CLE,84713,-8.5,-400,226.0,117.3,
1210577,JD Davison,PG,BOS,3500,0,0,0,9,30,11.35,0,2,51,0,0,0,0,0,0,4.52,vs CLE,171762,-8.5,-400,226.0,117.3,
1210578,Moussa Diabate,PF,LAC,3500,0,0,0,1,30,11.05,1.01,4,26,0,0,0,0,0,0,7.31,vs GS,171765,0,0,0.0,0.0,
1210579,Wendell Moore,SG,MIN,3500,0,0,0,5,30,6.13,0,2,47,0,0,0,0,0,0,0.9,@DAL,171778,0,0,0.0,0.0,
1210580,Josh Minott,SF,MIN,3500,0,0,0,13,30,6.62,0.59,2,8,0,0,0,0,0,0,2.51,@DAL,171776,0,0,0.0,0.0,
1210581,Isaiah Mobley,PF,CLE,3500,0,0,0,11,30,21.79,0,2,33,0,0,0,0,0,0,5.45,@BOS,171782,8.5,300,226.0,108.8,
1210582,Micah Potter,PF,UTA,3500,0,0,0,2,30,15.67,0,2,24,0,0,0,0,0,0,7.17,@POR,161552,0,0,0.0,0.0,
1210583,Dru Smith,SG,MIA,3500,0,0,0,21,30,18.44,0.06,4,35,0,0,0,0,0,0,11.98,vs CHI,161553,0,0,0.0,0.0,
1210584,Gui Santos,PF,GS,3500,0,0,0,4,30,7.1,1.2,2,0,0,0,0,0,0,0,4.15,@LAC,171796,0,0,0.0,0.0,
1210585,Ibou Badji,C,POR,3500,0,0,0,8,30,0,0,2,0,0,0,0,0,0,0,0,vs UTA,180016,0,0,0.0,0.0,
1210586,Dexter Dennis,SG,DAL,3500,0,0,0,7,30,4,2.4,2,34,0,0,0,0,0,0,3.2,vs MIN,192339,0,0,0.0,0.0,
1210587,P.J. Tucker,PF,LAC,3500,0,0,0,1,30,14.12,2.23,2,78,0,0,0,0,0,0,7.71,vs GS,23407,0,0,0.0,0.0,
1210588,Jay Huff,C,DEN,3500,0,0,0,21,30,22.79,0,2,51,0,0,0,0,0,0,1,vs BKN,159097,-9.5,-500,229.0,119.3,
1210589,Amir Coffey,SF/SG,LAC,3500,0,0,0,6,30,6.25,0,2,68,0,0,0,0,0,0,2.65,vs GS,111492,0,0,0.0,0.0,
1210590,Jordan Ford,PG,SAC,3500,0,0,0,13,30,5.98,0,2,0,0,0,0,0,0,0,2.73,vs OKC,145824,-2,-130,243.0,122.5,
